AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,SpatialLocation,rowguid,ModifiedDate
1,1970 Napa Ct.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00g\xa8\x91\x89\x89\x8a^\xc0\xae\x8b\xfc(\xbc\xe4G@',9AADCB0D-36CF-483F-84D8-585C2D4EC6E9,2007-12-03 23:00:00
2,9833 Mt. Dias Blv.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xbc&*\n\x03\x90^\xc0\xd6\xfa\x85\x1a\xe6\xd7G@',32A54B9E-E034-4BFB-B573-A71CDE60D8C0,2008-11-29 23:00:00
3,7484 Roundtree Drive,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xda\x93\x0cx\x93\x91^\xc0\x18\xe3\x04\xc4\xad\xe1G@',4C506923-6D1B-452C-A07C-BAA6F5B142A4,2013-03-06 23:00:00
4,9539 Glenside Dr,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x11\xa5\xc2\x8a|\x95^\xc0\x81:\r_\x9f\xdeG@',E5946C78-4BCC-477F-9FA1-CC09DE16A880,2009-02-02 23:00:00
5,1226 Shoe St.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc4`\xea?\xd8\x85^\xc0a\xc6M\x8a\xbb\xd9G@',FBAFF937-4A97-4AF0-81FD-B849900E9BB0,2008-12-18 23:00:00
6,1399 Firestone Drive,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00/\x12\xa5\xf8\x0c\x97^\xc0\xe0\xb4\xe5\x04X\xdaG@',FEBF8191-9804-44C8-877A-33FDE94F0075,2009-02-12 23:00:00
7,5672 Hale Dr.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x11\xa5\xc2\x8a|\x95^\xc0\x18\xe3\x04\xc4\xad\xe1G@',0175A174-6C34-4D41-B3C1-4419CD6A0446,2009-12-10 23:00:00
8,6387 Scenic Avenue,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe2H\x96/\xd5\x97^\xc0\x00)\xa5\xd9;\xdfG@',3715E813-4DCA-49E0-8F1C-31857D21F269,2008-12-16 23:00:00
9,8713 Yosemite Ct.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x85\x15t\xf7\x19\x8c^\xc0j\x80\xadt-\xdcG@',268AF621-76D7-4C78-9441-144FD139821A,2012-05-29 22:00:00
10,250 Race Court,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00@\x86%d\xb7\x82^\xc0!\x9dd\xae\x1f\xe4G@',0B6B739D-8EB6-4378-8D55-FE196AF34C04,2008-12-01 23:00:00
11,1318 Lasalle Street,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00W\xb9G\x9cr\x8e^\xc0\xce\xff\xbb\xfd\x9f\xe9G@',981B3303-ACA2-49C7-9A96-FB670785B269,2013-02-27 23:00:00
12,5415 San Gabriel Dr.,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x11\xa5\xc2\x8a|\x95^\xc0j\x80\xadt-\xdcG@',1C2C9CFE-AB9F-4F96-8E1F-D9666B6F7F22,2013-01-04 23:00:00
13,9265 La Paz,,Bothell,79,98011,"b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xf3\xbc\x16\x9b\x7f\x83^\xc0\xc3""\x8c\x08g\xe8G@'",E0BA2F52-C907-4553-A0DB-67FC67D28AE4,2013-12-13 23:00:00
14,8157 W. Book,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00g\xa8\x91\x89\x89\x8a^\xc0!\x9dd\xae\x1f\xe4G@',A1C658AE-C553-4A9D-A081-A550D39B64DF,2009-12-03 23:00:00
15,4912 La Vuelta,,Bothell,79,98011,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00^n\xd1S\xb4\x94^\xc0!\x9dd\xae\x1f\xe4G@',F397E64A-A9D8-4E57-9E7C-B10928ACADD6,2013-11-17 23:00:00
